noise_level,id,correct,parse_success,evidence_support,hallucination,self_reported_confidence
0,ETR/2016/page_23.pdf-2,1.0,True,0.7,0,1.0
0,INTC/2015/page_41.pdf-4,0.0,True,0.5,0,
0,ADI/2011/page_61.pdf-2,0.0,True,0.7333333333333333,0,
0,FIS/2010/page_70.pdf-2,0.0,True,0.0,1,1.0
0,MAS/2017/page_27.pdf-2,0.0,True,0.6923076923076923,0,1.0
0,SYY/2006/page_71.pdf-1,0.0,False,0.5625,0,
0,AES/2010/page_227.pdf-3,0.0,True,0.5555555555555556,0,1.0
0,GS/2015/page_188.pdf-2,0.0,True,0.7,0,
0,MO/2016/page_19.pdf-1,0.0,True,0.75,0,1.0
0,CMCSA/2015/page_112.pdf-2,0.0,True,0.7619047619047619,0,1.0
10,ETR/2016/page_23.pdf-2,1.0,True,0.7,0,1.0
10,INTC/2015/page_41.pdf-4,0.0,True,0.5,0,
10,ADI/2011/page_61.pdf-2,0.0,True,0.7333333333333333,0,
10,FIS/2010/page_70.pdf-2,0.0,True,0.0,1,1.0
10,MAS/2017/page_27.pdf-2,0.0,True,0.6923076923076923,0,1.0
10,SYY/2006/page_71.pdf-1,0.0,False,0.5625,0,
10,AES/2010/page_227.pdf-3,0.0,True,0.5555555555555556,0,1.0
10,GS/2015/page_188.pdf-2,0.0,True,0.7,0,
10,MO/2016/page_19.pdf-1,0.0,True,0.75,0,1.0
10,CMCSA/2015/page_112.pdf-2,0.0,True,0.7619047619047619,0,1.0
20,ETR/2016/page_23.pdf-2,1.0,True,0.7,0,1.0
20,INTC/2015/page_41.pdf-4,0.0,True,0.5,0,
20,ADI/2011/page_61.pdf-2,0.0,True,0.7333333333333333,0,
20,FIS/2010/page_70.pdf-2,0.0,True,0.0,1,1.0
20,MAS/2017/page_27.pdf-2,0.0,True,0.6923076923076923,0,1.0
20,SYY/2006/page_71.pdf-1,0.0,False,0.5625,0,
20,AES/2010/page_227.pdf-3,0.0,True,0.5555555555555556,0,1.0
20,GS/2015/page_188.pdf-2,0.0,True,0.7,0,
20,MO/2016/page_19.pdf-1,0.0,True,0.75,0,1.0
20,CMCSA/2015/page_112.pdf-2,0.0,True,0.7619047619047619,0,1.0
30,ETR/2016/page_23.pdf-2,1.0,True,0.7,0,1.0
30,INTC/2015/page_41.pdf-4,0.0,True,0.5,0,
30,ADI/2011/page_61.pdf-2,0.0,True,0.7333333333333333,0,
30,FIS/2010/page_70.pdf-2,0.0,True,0.0,1,1.0
30,MAS/2017/page_27.pdf-2,0.0,True,0.6923076923076923,0,1.0
30,SYY/2006/page_71.pdf-1,0.0,False,0.5625,0,
30,AES/2010/page_227.pdf-3,0.0,True,0.5555555555555556,0,1.0
30,GS/2015/page_188.pdf-2,0.0,True,0.7,0,
30,MO/2016/page_19.pdf-1,0.0,True,0.75,0,1.0
30,CMCSA/2015/page_112.pdf-2,0.0,True,0.7619047619047619,0,1.0
40,ETR/2016/page_23.pdf-2,1.0,True,0.7,0,1.0
40,INTC/2015/page_41.pdf-4,0.0,True,0.5,0,
40,ADI/2011/page_61.pdf-2,0.0,True,0.7333333333333333,0,
40,FIS/2010/page_70.pdf-2,0.0,True,0.0,1,1.0
40,MAS/2017/page_27.pdf-2,0.0,True,0.6923076923076923,0,1.0
40,SYY/2006/page_71.pdf-1,0.0,False,0.5625,0,
40,AES/2010/page_227.pdf-3,0.0,True,0.5555555555555556,0,1.0
40,GS/2015/page_188.pdf-2,0.0,True,0.7,0,
40,MO/2016/page_19.pdf-1,0.0,True,0.75,0,1.0
40,CMCSA/2015/page_112.pdf-2,0.0,True,0.7619047619047619,0,1.0
